25.0,25.0,Somewhere = 21
27.0,-70.0,Disappearance
28.0,-71.0,Bermuda Triangle = 21
40.0,50.0,Somewhere = 21
33.0,-65.0,UFO
30.0,-77.0,UFO
30.0,-77.0,Elvis
28.304380,-74.575195,Type=UFO
26.224447,-71.477051,Type=UFO
30.685163,-68.137207,Type=Yeti
29.132971,-71.136475,Type=Ship
27.868217,-68.005371,Type=Goatsucker
30.496017,-73.333740,Type=Disappearance
29.401320,-66.027832,Type=Ship
28.343065,-62.753906,Type=Elvis
37.879536,-69.477539,Type=Elvis
22.705256,-68.192139,Type=Elvis
27.166695,-87.484131,Type=Elvis